Date,total_comments,New Cases,New Deaths,Total Cases,Total Deaths
2020-03-14,4408,511,7,2174,47
2020-03-15,1892,777,10,2951,57
2020-03-15,2447,777,10,2951,57
2020-03-17,0,887,16,4661,85
2020-03-18,0,1766,23,6427,108
2020-03-18,529,1766,23,6427,108
2020-03-18,596,1766,23,6427,108
2020-03-19,0,2988,42,9415,150
2020-03-19,1088,2988,42,9415,150
2020-03-19,0,2988,42,9415,150
2020-03-20,0,4835,0,14250,150
2020-03-20,0,4835,0,14250,150
2020-03-20,883,4835,0,14250,150
2020-03-21,997,5374,110,19624,260
2020-03-21,0,5374,110,19624,260
2020-03-22,266,7123,80,26747,340
2020-03-22,1906,7123,80,26747,340
2020-03-23,1374,8459,131,35206,471
2020-03-24,1163,11236,119,46442,590
2020-03-25,0,8789,211,55231,801
2020-03-25,43,8789,211,55231,801
2020-03-26,2000,13963,249,69194,1050
2020-03-26,0,13963,249,69194,1050
2020-03-26,991,13963,249,69194,1050
2020-03-27,0,16797,246,85991,1296
2020-03-28,2915,18695,411,104686,1707
2020-03-29,682,19979,484,124665,2191
2020-03-31,0,21595,661,164620,3170
2020-03-31,1012,21595,661,164620,3170
2020-04-01,0,24998,909,189618,4079
2020-04-02,3274,27103,1059,216721,5138
2020-04-02,1479,27103,1059,216721,5138
2020-04-02,1255,27103,1059,216721,5138
2020-04-04,0,32425,1104,277965,7157
2020-04-04,48,32425,1104,277965,7157
2020-04-04,0,32425,1104,277965,7157
2020-04-05,0,34272,1344,312237,8501
2020-04-06,1036,25398,1146,337635,9647
2020-04-06,530,25398,1146,337635,9647
