,Date,New Cases,New Deaths,Total Cases,Total Deaths
10333,1577779200.0,0,0,0,0
10334,1577865600.0,0,0,0,0
10335,1577952000.0,0,0,0,0
10336,1578038400.0,0,0,0,0
10337,1578124800.0,0,0,0,0
10338,1578211200.0,0,0,0,0
10339,1578297600.0,0,0,0,0
10340,1578384000.0,0,0,0,0
10341,1578470400.0,0,0,0,0
10342,1578556800.0,0,0,0,0
10343,1578643200.0,0,0,0,0
10344,1578729600.0,0,0,0,0
10345,1578816000.0,0,0,0,0
10346,1578902400.0,0,0,0,0
10347,1578988800.0,0,0,0,0
10348,1579075200.0,0,0,0,0
10349,1579161600.0,0,0,0,0
10350,1579248000.0,0,0,0,0
10351,1579334400.0,0,0,0,0
10352,1579420800.0,0,0,0,0
10353,1579507200.0,0,0,0,0
10354,1579593600.0,1,0,1,0
10355,1579680000.0,0,0,1,0
10356,1579766400.0,0,0,1,0
10357,1579852800.0,0,0,1,0
10358,1579939200.0,1,0,2,0
10359,1580025600.0,0,0,2,0
10360,1580112000.0,3,0,5,0
10361,1580198400.0,0,0,5,0
10362,1580284800.0,0,0,5,0
10363,1580371200.0,0,0,5,0
10364,1580457600.0,1,0,6,0
10365,1580544000.0,1,0,7,0
10366,1580630400.0,1,0,8,0
10367,1580716800.0,3,0,11,0
10368,1580803200.0,0,0,11,0
10369,1580889600.0,0,0,11,0
10370,1580976000.0,1,0,12,0
10371,1581062400.0,0,0,12,0
10372,1581148800.0,0,0,12,0
10373,1581235200.0,0,0,12,0
10374,1581321600.0,0,0,12,0
10375,1581408000.0,1,0,13,0
10376,1581494400.0,0,0,13,0
10377,1581580800.0,1,0,14,0
10378,1581667200.0,1,0,15,0
10379,1581753600.0,0,0,15,0
10380,1581840000.0,0,0,15,0
10381,1581926400.0,0,0,15,0
10382,1582012800.0,0,0,15,0
10383,1582099200.0,0,0,15,0
10384,1582185600.0,0,0,15,0
10385,1582272000.0,1,0,16,0
10386,1582358400.0,19,0,35,0
10387,1582444800.0,0,0,35,0
10388,1582531200.0,0,0,35,0
10389,1582617600.0,18,0,53,0
10390,1582704000.0,0,0,53,0
10391,1582790400.0,6,0,59,0
10392,1582876800.0,1,0,60,0
10393,1582963200.0,6,0,66,0
10394,1583049600.0,3,1,69,1
10395,1583136000.0,20,1,89,2
10396,1583222400.0,14,4,103,6
10397,1583308800.0,22,3,125,9
10398,1583395200.0,34,2,159,11
10399,1583481600.0,74,1,233,12
10400,1583568000.0,105,2,338,14
10401,1583654400.0,95,3,433,17
10402,1583737200.0,121,4,554,21
10403,1583823600.0,200,5,754,26
10404,1583910000.0,271,2,1025,28
10405,1583996400.0,287,2,1312,30
10406,1584082800.0,351,10,1663,40
10407,1584169200.0,511,7,2174,47
10408,1584255600.0,777,10,2951,57
10409,1584342000.0,823,12,3774,69
10410,1584428400.0,887,16,4661,85
10411,1584514800.0,1766,23,6427,108
10412,1584601200.0,2988,42,9415,150
10413,1584687600.0,4835,0,14250,150
10414,1584774000.0,5374,110,19624,260
10415,1584860400.0,7123,80,26747,340
10416,1584946800.0,8459,131,35206,471
10417,1585033200.0,11236,119,46442,590
10418,1585119600.0,8789,211,55231,801
10419,1585206000.0,13963,249,69194,1050
10420,1585292400.0,16797,246,85991,1296
10421,1585378800.0,18695,411,104686,1707
10422,1585465200.0,19979,484,124665,2191
10423,1585551600.0,18360,318,143025,2509
10424,1585638000.0,21595,661,164620,3170
10425,1585724400.0,24998,909,189618,4079
10426,1585810800.0,27103,1059,216721,5138
10427,1585897200.0,28819,915,245540,6053
10428,1585983600.0,32425,1104,277965,7157
10429,1586070000.0,34272,1344,312237,8501
10430,1586156400.0,25398,1146,337635,9647
10431,1586242800.0,30561,1342,368196,10989
10432,1586329200.0,30613,1906,398809,12895
10433,1586415600.0,33323,1922,432132,14817
10434,1586502000.0,33901,1873,466033,16690
10435,1586588400.0,35527,2087,501560,18777
10436,1586674800.0,28391,1831,529951,20608
10437,1586761200.0,27620,1500,557571,22108
10438,1586847600.0,25023,1541,582594,23649
